tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
right_elbow_imu,2.091666,333.8658,221.3336,269.3992,-0.7950306,-7.28559,1.433715,1.609815,6.281308,-3.704211,-0.2821101,1.075467,-0.1618106
right_elbow_imu,2.141667,325.6631,220.2346,266.4902,-1.412427,-5.851359,0.1589084,1.501789,5.195652,-2.647347,-0.2838751,1.07884,-0.2080655
right_elbow_imu,2.191668,316.5307,219.5544,263.8784,-1.870704,-4.701753,0.3094375,2.063834,3.869671,-2.543234,-0.2903168,1.094959,-0.2535467
right_elbow_imu,2.241668,307.9016,222.1962,258.7731,-1.650047,-4.225154,0.7174611,2.265668,2.660443,-2.979623,-0.3008836,1.125015,-0.2972343
right_elbow_imu,2.291669,301.4886,223.1943,254.7909,-0.4639864,-5.772443,1.358223,1.864046,2.023401,-5.273745,-0.3126104,1.16514,-0.3375263
right_elbow_imu,2.34167,298.0407,222.3879,252.8566,1.030493,-9.065146,2.287459,1.382129,1.831136,-9.121845,-0.321761,1.207102,-0.3720997
right_elbow_imu,2.39167,297.256,219.3001,253.5835,1.879692,-12.44249,3.120136,1.205099,2.244387,-12.71199,-0.3262123,1.242458,-0.3988727
right_elbow_imu,2.441671,298.0768,214.2843,256.6412,2.045345,-15.19503,3.402615,1.064948,3.503216,-15.27232,-0.3255503,1.264326,-0.4171392
right_elbow_imu,2.491672,300.0527,211.7551,257.8927,1.382041,-15.82698,3.31471,1.575388,4.629473,-15.47505,-0.3214332,1.271127,-0.4271189
right_elbow_imu,2.541672,303.3271,208.8223,260.0204,0.4692674,-14.64614,2.925062,1.974577,5.456957,-13.76985,-0.3161429,1.265813,-0.429786
right_elbow_imu,2.591673,307.6218,204.2829,263.3244,0.01857281,-13.12298,2.45223,1.709553,6.076837,-11.76334,-0.3108061,1.25219,-0.4263225
right_elbow_imu,2.641674,312.3435,201.8116,264.564,-0.2282262,-12.08806,2.112222,1.632188,6.630666,-10.19829,-0.30604,1.232848,-0.4175784
right_elbow_imu,2.691674,317.1124,199.3405,265.3561,-0.1052618,-11.39044,1.824307,1.283959,7.117318,-8.987589,-0.3015369,1.20953,-0.4042736
right_elbow_imu,2.741675,321.6526,198.7367,264.9694,0.07101297,-10.95204,1.658154,1.130104,7.530796,-8.04436,-0.2968564,1.183332,-0.3868234
right_elbow_imu,2.791676,325.6921,200.0445,263.9391,-0.07278919,-10.50033,1.595962,1.440013,7.733675,-7.136247,-0.2923578,1.155382,-0.3653833
right_elbow_imu,2.841676,329.517,201.4716,263.5582,-0.2446532,-10.04695,1.423454,1.645096,7.897003,-6.161044,-0.2884709,1.126816,-0.3403845
right_elbow_imu,2.891677,332.9092,203.2827,263.4373,-0.4934192,-9.333415,1.322043,1.866035,7.682263,-5.157975,-0.2858175,1.099416,-0.3120807
right_elbow_imu,2.941678,335.5836,205.4411,263.2026,-0.7521391,-8.360524,1.182914,2.043604,7.112927,-4.134416,-0.2850445,1.075614,-0.2808195
right_elbow_imu,2.991678,337.1401,208.0679,262.6062,-0.9932399,-7.648034,0.8024991,2.13847,6.734607,-3.192971,-0.2867545,1.057193,-0.2475521
right_elbow_imu,3.041679,337.5902,211.6131,262.0541,-1.316094,-7.30638,0.3410757,2.2419,6.660913,-2.416154,-0.2917548,1.045005,-0.213432
right_elbow_imu,3.09168,337.3673,216.0221,261.339,-1.536536,-7.344003,-0.08292198,2.257366,6.89064,-1.930192,-0.3005964,1.038958,-0.1795193
right_elbow_imu,3.14168,337.4886,219.5538,260.6998,-1.503181,-8.026309,-0.3199339,2.215476,7.617773,-1.960834,-0.313196,1.037344,-0.1464063
right_elbow_imu,3.191681,338.2422,222.2323,260.4428,-1.128995,-9.10439,-0.2859867,2.098455,8.586338,-2.473402,-0.3286181,1.03747,-0.1140083
right_elbow_imu,3.241682,339.6606,224.347,261.1084,-0.4085541,-10.47773,-0.1081944,1.751962,9.797555,-3.301531,-0.3450616,1.035902,-0.08188084
right_elbow_imu,3.291682,340.7043,225.4937,262.1423,0.4757524,-11.30661,-0.1518929,1.010754,10.55548,-3.955936,-0.3603157,1.030567,-0.05013308
right_elbow_imu,3.341683,341.8808,228.0711,262.24,1.284528,-11.13381,-0.3393805,0.2975332,10.41018,-4.155301,-0.3723584,1.021897,-0.01923377
right_elbow_imu,3.391684,343.207,230.9432,261.7298,1.830339,-10.40873,-0.6866038,-0.2766254,9.821133,-3.953753,-0.3798253,1.011706,0.009949028
right_elbow_imu,3.441684,344.6038,232.1069,261.6542,1.945293,-9.436841,-1.23786,-0.857926,9.113504,-3.252462,-0.382429,1.002422,0.03603718
right_elbow_imu,3.491685,345.5195,232.4241,262.0555,1.69369,-8.970709,-1.665848,-1.141293,8.846754,-2.559239,-0.3807985,0.9952117,0.0579607
right_elbow_imu,3.541686,345.8153,233.6249,262.0442,1.21603,-9.133453,-1.83385,-0.9472687,9.100278,-2.132929,-0.3761278,0.9896677,0.07529961
right_elbow_imu,3.591686,345.748,235.8496,261.4439,0.7189631,-9.208722,-1.754525,-0.492763,9.196972,-1.889123,-0.3696598,0.985602,0.08825219
right_elbow_imu,3.641687,345.7508,237.716,261.1222,0.4638433,-9.169645,-1.481387,-0.09539299,9.109632,-1.870201,-0.3620322,0.9831121,0.09750132
right_elbow_imu,3.691688,345.8251,237.6955,261.1975,0.3910542,-9.240861,-1.241624,0.1399414,9.127146,-1.940046,-0.3534269,0.9820201,0.1036464
